L,rho,one_minus_rho,specialization_curvature,normalized_specialization_curvature,index,nullity
4,0.0,1.0,0.125,0.125,9,3
4,0.25,0.75,0.287109375,0.18702290076335878,9,3
4,0.5,0.5,0.390625,0.09615384615384616,9,3
4,0.75,0.25,0.330078125,0.031146332473276816,9,3
4,0.9,0.09999999999999998,0.17112499999999997,0.009724724241201573,9,3
4,0.95,0.050000000000000044,0.09264062500000007,0.004496123278558842,9,3
4,0.98,0.020000000000000018,0.03880900000000004,0.001717725469417915,9,3
4,0.99,0.010000000000000009,0.019701125000000014,0.0008459646066842674,9,3
4,0.995,0.0050000000000000044,0.009925140625000009,0.00041980800908475305,9,3
4,0.999,0.0010000000000000009,0.0019970011250000017,8.34584636476294e-05,9,3
4,0.9999,9.999999999998899e-05,0.00019997000112497796,8.334583463551338e-06,9,3
8,0.0,1.0,0.00274658203125,0.00274658203125,49,7
8,0.25,0.75,0.8909431658685207,0.0723736922444459,49,7
8,0.5,0.5,11.403486728668213,0.026635638384130276,49,7
8,0.75,0.25,40.92726157978177,0.007265026945211207,49,7
8,0.9,0.09999999999999998,41.56518666384886,0.002142960637223332,49,7
8,0.95,0.050000000000000044,27.52524477538134,0.0009762571321433627,49,7
8,0.98,0.020000000000000018,12.952626617042053,0.000369969195084363,49,7
8,0.99,0.010000000000000009,6.830172912113641,0.00018173677005498085,49,7
8,0.995,0.0050000000000000044,3.506527584202162,9.007197921440479e-05,49,7
8,0.999,0.0010000000000000009,0.7162282591094543,1.7888432800498774e-05,49,7
8,0.9999,9.999999999998899e-05,0.07196220826777744,1.7860268256180187e-06,49,7
16,0.0,1.0,1.2098418267214583e-06,1.2098418267214583e-06,225,15
16,0.25,0.75,2700.8495525183794,0.027603059666181685,225,15
16,0.5,0.5,6216752.235840286,0.007163568435240218,225,15
16,0.75,0.25,518291212.2836011,0.0017709618674653755,225,15
16,0.9,0.09999999999999998,2197255833.596789,0.0005071377493487871,225,15
16,0.95,0.050000000000000044,2225750147.250257,0.0002293092258071295,225,15
16,0.98,0.020000000000000018,1337684590.650856,8.654734840737372e-05,225,15
16,0.99,0.010000000000000009,764079110.7863349,4.2458906630150904e-05,225,15
16,0.995,0.0050000000000000044,408141516.0321823,2.1030011166227377e-05,225,15
16,0.999,0.0010000000000000009,86041022.60877709,4.174490036035154e-06,225,15
16,0.9999,9.999999999998899e-05,8706393.9392256,4.16744802524064e-07,225,15
