L,t,rho,rho_sqrt_L,exact,critical_window_asymptotic,ratio
50,0.5,0.07071067811865475,0.5,0.010894880494973174,0.010826822658929015,1.0062860396062765
100,0.5,0.05,0.5,0.005446976007517254,0.005413411329464508,1.0062002822268572
200,0.5,0.035355339059327376,0.5,0.0027224780403153556,0.002706705664732254,1.005827148399847
800,0.5,0.017677669529663688,0.5,0.0006794900142190968,0.0006766764161830635,1.0041579667456182
1600,0.5,0.0125,0.5,0.0003394413186994982,0.00033833820809153173,1.003260378466236
50,0.75,0.10606601717798213,0.75,0.012531259370832583,0.014617325884699998,0.8572880887843578
100,0.75,0.075,0.75,0.006515274590852922,0.007308662942349999,0.8914454863009493
200,0.75,0.053033008588991064,0.75,0.0033590517764096476,0.0036543314711749994,0.9191973423608426
800,0.75,0.026516504294495532,0.75,0.0008743181208143062,0.0009135828677937499,0.9570211434959744
1600,0.75,0.01875,0.75,0.00044265551273338263,0.00045679143389687493,0.9690538829879117
50,1.0,0.1414213562373095,1.0,0.009905039956246172,0.012130613194252668,0.8165325031498866
100,1.0,0.1,1.0,0.005221000993997217,0.006065306597126334,0.8607975393149724
200,1.0,0.07071067811865475,1.0,0.002718477328275648,0.003032653298563167,0.8964022790088232
800,1.0,0.035355339059327376,1.0,0.0007163196866507188,0.0007581633246407917,0.9448092032018326
1600,1.0,0.025,1.0,0.0003640046060883127,0.00037908166232039587,0.9602274187049961
50,1.5,0.21213203435596426,1.5,0.005429284426277137,0.007117665803704961,0.7627900179650231
100,1.5,0.15,1.5,0.002927681872613643,0.0035588329018524803,0.8226522439673118
200,1.5,0.10606601717798213,1.5,0.0015466604263267307,0.0017794164509262402,0.8691953058665087
800,1.5,0.053033008588991064,1.5,0.00041414589261354844,0.00044485411273156004,0.9309701332658197
1600,1.5,0.0375,1.5,0.00021138986591195646,0.00022242705636578002,0.9503783818652306
50,2.0,0.282842712474619,2.0,0.003114447140161654,0.004412484512922977,0.705826191806516
100,2.0,0.2,2.0,0.001727762822450298,0.0022062422564614885,0.7831247078103716
200,2.0,0.1414213562373095,2.0,0.0009282541130828698,0.0011031211282307443,0.8414797698342182
800,2.0,0.07071067811865475,2.0,0.00025293997654859767,0.00027578028205768606,0.9171793380633688
1600,2.0,0.05,2.0,0.0001297035962444793,0.00013789014102884303,0.9406299484264701
